id,naslov,avtor,ocena_kritikov,leto,ocena_ljudi
942,"I'm Wide Awake, It's Morning",Bright Eyes,85,2005,80
943,Fires Within Fires,Neurosis,85,2016,74
944,New Brigade,Iceage,85,2011,79
945,Malibu,Anderson Paak,85,2016,85
946,So Beautiful or So What,Paul Simon,85,2011,82
947,Third,Portishead,85,2008,83
948,Holopaw,Holopaw,85,2003,90
949,Don't Give Up On Me,Solomon Burke,85,2002,83
950,Didn't It Rain,Songs: Ohia,85,2002,90
951,Girls Can Tell,Spoon,85,2001,89
952,Late Registration,Kanye West,85,2005,88
953,Impossible Truth,William Tyler,85,2013,68
954,Stay Positive,The Hold Steady,85,2008,78
955,Reality Show,Jazmine Sullivan,85,2015,87
956,Bleach: Deluxe Edition,Nirvana,85,2009,88
957,Christine and the Queens,Christine and the Queens,85,2015,83
958,Loyalty,The Weather Station,85,2015,90
959,Hail To The Thief,Radiohead,85,2003,88
960,Magnolia Electric Co.,Songs: Ohia,85,2003,88
961,Pause,Four Tet,85,2001,87
962,Laulu Laakson Kukista,Paavoharju,85,2008,90
963,Helplessness Blues,Fleet Foxes,85,2011,88
964,Mezmerize,System Of A Down,85,2005,84
965,Purple,Baroness,85,2015,86
966,Beauty And The Beat,Edan,85,2005,90
967,Twin Cinema,The New Pornographers,85,2005,89
968,Benji,Sun Kil Moon,85,2014,84
969,For Hero: For Fool,Subtle,85,2006,89
970,Godfather,Wiley,85,2017,70
971,Seasons of My Soul,Rumer,85,2012,74
972,New Moon,Elliott Smith,85,2007,88
973,The Drift,Scott Walker,85,2006,81
974,Over and Even,Joan Shelley,85,2015,90
975,Streetcore,Joe Strummer & The Mescaleros,85,2003,85
976,Happy Songs For Happy People,Mogwai,85,2003,88
977,Source Tags & Codes,...And You Will Know Us by the Trail of Dead,85,2002,89
978,Greatest Hits: The Evidence,Ice-T,85,2000,85
979,My Favorite Picture of You,Guy Clark,85,2013,86
981,Old Ideas,Leonard Cohen,85,2012,77
982,Left Of The Dial: Dispatches From The '80s Underground,Various Artists,85,2004,78
983,Transatlanticism,Death Cab for Cutie,85,2003,88
984,Run To Ruin,Nina Nastasia,85,2003,83
985,Dongs of Sevotion,Smog,85,2000,85
986,The Meadowlands,The Wrens,85,2003,90
987,Celebration Day [Live],Led Zeppelin,85,2012,83
988,Boys And Girls In America,The Hold Steady,85,2006,84
989,Elaenia,Floating Points,85,2015,85
990,Big Inner,Matthew E. White,85,2012,86
991,Ys,Joanna Newsom,85,2006,83
992,Ode,Brad Mehldau Trio,85,2012,80
993,Supermodified,Amon Tobin,85,2000,86
994,Revolution,Miranda Lambert,85,2009,90
995,Enter The Vaselines,The Vaselines,85,2009,82
996,The Impossible Kid,Aesop Rock,85,2016,85
997,Tomorrow's Harvest,Boards of Canada,85,2013,85
998,Architect,C Duncan,85,2015,89
999,Winter Wheat,John K. Samson,85,2016,83
1000,Crazy Ex-Girlfriend,Miranda Lambert,85,2007,86
1001,New Bermuda,Deafheaven,85,2015,86
1002,Live in Paris,Sleater-Kinney,85,2017,90
1003,Bonxie,Stornoway,85,2015,76
1004,The  Harrow and the Harvest,Gillian Welch,85,2011,76
1005,One Beat,Sleater-Kinney,85,2002,90
1006,High Violet,The National,85,2010,89
1007,This Right Here Is Buck 65,Buck 65,85,2005,89
1008,The Singles,Goldfrapp,85,2012,83
1009,Beyoncé,Beyoncé,85,2013,81
1010,Cole's Corner,Richard Hawley,85,2005,88
1011,Clearing the Path to Ascend,Yob,85,2014,84
1012,Emeritus,Scarface,85,2008,83
1013,Lookaftering,Vashti Bunyan,85,2005,81
1014,R.A.P. Music,Killer Mike,85,2012,85
1015,This Is Our Science,Astronautalis,85,2011,76
1016,Levon Vincent,Levon Vincent,85,2015,76
1017,Before Today,Ariel Pink's Haunted Graffiti,85,2010,80
1018,I See You,The xx,85,2017,83
1019,Wind's Poem,Mount Eerie,85,2009,86
1020,Singing Bones,The Handsome Family,85,2003,87
1021,Fever To Tell,Yeah Yeah Yeahs,85,2003,83
1022,The Ugly Organ,Cursive,85,2003,89
1023,The Last Broadcast,Doves,85,2002,90
1024,Ocean Roar,Mount Eerie,85,2012,84
1025,Kaputt,Destroyer,84,2011,87
1026,Yonder Is The Clock,The Felice Brothers,84,2009,86
1027,Geogaddi,Boards of Canada,84,2002,91
1028,Hearts Of Oak,Ted Leo & The Pharmacists,84,2003,89
1029,Fantasy Empire,Lightning Bolt,84,2015,71
1030,Tomorrow Is My Turn,Rhiannon Giddens,84,2015,85
1031,Bow Down To The Exit Sign,David Holmes,84,2000,88
1032,Indestructible Machine,Lydia Loveless,84,2011,87
1033,Singing Saw,Kevin Morby,84,2016,78
1034,Light Up Gold,Parquet Courts,84,2013,83
1035,1991 [EP],Azealia Banks,84,2012,88
1036,Electric Dirt,Levon Helm,84,2009,90
1037,Serena-Maneesh,Serena-Maneesh,84,2006,76
1038,Before the Dawn [Live],Kate Bush,84,2016,81
1039,The Great Pretenders,Mini Mansions,84,2015,86
1040,A World Lit Only by Fire,Godflesh,84,2014,74
1041,The Way I'm Livin',Lee Ann Womack,84,2014,85
1042,Emily's D+Evolution,Esperanza Spalding,84,2016,77
1043,Medulla,Björk,84,2004,88
1044,Blue Cathedral,Comets On Fire,84,2004,71
1045,Old Ramon,Red House Painters,84,2001,87
1046,Mwng,Super Furry Animals,84,2000,89
1047,Play,Moby,84,1999,91
1048,Apollo Kids,Ghostface Killah,84,2010,81
1049,Cancer4Cure,El-P,84,2012,86
1051,Excavation,The Haxan Cloak,84,2013,86
1052,Sugar Mountain: Live At Canterbury House 1968,Neil Young,84,2008,74
1053,Fall Be Kind [EP],Animal Collective,84,2009,70
1054,ONoffON,Mission of Burma,84,2004,85
1055,2,All Girl Summer Fun Band,84,2003,90
1056,Gimme Fiction,Spoon,84,2005,89
1057,Blood Bitch,Jenny Hval,84,2016,76
1058,Feels,Animal Collective,84,2005,88
1059,Down to Believing,Allison Moorer,84,2015,84
1060,Yeezus,Kanye West,84,2013,76
1061,Bird Songs,Joe Lovano Us Five,84,2011,84
1062,Ten [Reissue],Pearl Jam,84,2009,90
1063,Ga Ga Ga Ga Ga,Spoon,84,2007,87
1064,In My Mind,BJ the Chicago Kid,84,2016,72
1065,Sometimes the Blues is Just a Passing Bird,The Tallest Man on Earth,84,2010,86
1066,Takk...,Sigur Rós,84,2005,88
1067,MCII,Mikal Cronin,84,2013,84
1068,The Serpent & the Sphere,Agalloch,84,2014,82
1069,Nomad,Bombino,84,2013,83
1070,Copia,Eluvium,84,2007,79
1071,The Black Album,Jay-Z,84,2003,87
1072,OST,Lost In Translation,84,2003,86
1073,Blood Money,Tom Waits,84,2002,87
1074,"The  Worse Things Get, the Harder I Fight, the Harder I Fight, the More I Love You",Neko Case,84,2013,81
1075,My Life In The Bush Of Ghosts [2006 Version],Brian Eno + David Byrne,84,2006,85
1076,Introducing Karl Blau,Karl Blau,84,2016,64
1077,Burn Your Fire for No Witness,Angel Olsen,84,2014,83
1078,Living for a Song: A Tribute to Hank Cochran,Jamey Johnson,84,2012,89
1079,Imidiwan: Companions,Tinariwen,84,2009,80
1080,The Crane Wife,The Decemberists,84,2006,88
1081,Extraordinary Machine,Fiona Apple,84,2005,88
1082,A.H.A.T.H.H.A.F.T.C.T.T.C.O.T.E.,True Widow,84,2011,80
1083,The Pretty Toney Album,Ghostface Killah,84,2004,82
1084,Yoshimi Battles The Pink Robots,The Flaming Lips,84,2002,91
1085,The Beginning Stages Of...,The Polyphonic Spree,84,2002,70
1086,Ten,Jason Moran,84,2010,76
1087,Dark Days/Light Years,Super Furry Animals,84,2009,78
1088,Ghosts Of The Great Highway,Sun Kil Moon,84,2003,89
1089,Varmints,Anna Meredith,84,2016,75
1090,These Were The Earlies,The Earlies,84,2005,85
1091,Sweet Warrior,Richard Thompson,84,2007,87
1092,Tarot Sport,Fuck Buttons,84,2009,81
1093,Entomology,Josef K,84,2006,85
1094,Our Love,Caribou,84,2014,81
1095,Heavy Ghost,DM Stith,84,2009,83
1096,Winter Hymn Country Hymn Secret Hymn,Do Make Say Think,84,2003,85
1097,Yoko,Beulah,84,2003,90
1098,The Shepherd's Dog,Iron & Wine,84,2007,91
1099,Multiply,Jamie Lidell,84,2005,74
1100,The  Office of Future Plans,The Office of Future Plans,84,2011,82
1101,Electric,Pet Shop Boys,84,2013,81
1102,A U R O R A,Ben Frost,84,2014,77
1103,Modern Vampires of the City,Vampire Weekend,84,2013,88
1104,Tronic,Black Milk,84,2008,88
1105,Heaven,Rebecca Ferguson,84,2012,87
1106,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,84,2005,85
1107,Cast Of Thousands,Elbow,84,2004,86
1108,The Smell Of Our Own,The Hidden Cameras,84,2003,88
1109,Send,Wire,84,2003,83
1110,We Love Life,Pulp,84,2002,87
1111,"Asunder, Sweet and Other Distress",Godspeed You! Black Emperor,84,2015,82
1112,El Camino,The Black Keys,84,2011,85
1113,Beauty & Crime,Suzanne Vega,84,2007,89
1114,Dream River,Bill Callahan,84,2013,81
1115,Pinch & Shackleton,Shackleton,84,2011,76
1116,The Miner's Hymns,Johann Johannsson,84,2011,68
1117,More Than Any Other Day,Ought,84,2014,86
1118,Emma Jean,Lee Fields,84,2014,83
1119,Forget,Twin Shadow,84,2010,87
1121,Inches,Les Savy Fav,84,2004,89
1122,The Violet Hour,The Clientele,84,2003,90
1123,The Fine Art of Self-Destruction,Jesse Malin,84,2003,77
1124,Cobblestone Runway,Ron Sexsmith,84,2002,88
1125,Lift Your Skinny Fists Like Antennas to Heaven,Godspeed You! Black Emperor,84,2000,92
1126,Nixon,Lambchop,84,2000,86
1127,Heal,Strand of Oaks,83,2014,81
1128,Two Dancers,Wild Beasts,83,2009,90
1129,Carrion Crawler/The Dream,Thee Oh Sees,83,2011,80
1130,The Excitement Plan,Todd Snider,83,2009,84
1131,Slaughterhouse,Ty Segall Band,83,2012,78
1132,DJ-Kicks,Moodymann,83,2016,76
1133,Bright Ideas,Portastatic,83,2005,90
1134,Secret Wars,Oneida,83,2004,80
1135,Her Majesty The Decemberists,The Decemberists,83,2003,79
1136,Change,The Dismemberment Plan,83,2001,87
1137,Time to Die,Electric Wizard,83,2014,88
1138,School Of The Flower,Six Organs of Admittance,83,2005,74
1139,FLOTUS,Lambchop,83,2016,82
1140,Ekstasis,Julia Holter,83,2012,84
1141,Angels & Devils,The Bug,83,2014,72
1142,Celebration Rock,Japandroids,83,2012,89
1143,The Epic,Kamasi Washington,83,2015,89
1144,New Amerykah Part Two: Return of the Ankh,Erykah Badu,83,2010,85
1145,"Nostalgia, Ultra.",Frank Ocean,83,2011,88
1146,One Kind Favor,B.B. King,83,2008,81
1147,Harmonicraft,Torche,83,2012,84
1148,"In The 7th Moon, The Chief Turned Into A Swimming Fish And Ate The Head Of His Enemy By Magic",Kasai Allstars,83,2008,88
1149,Patch the Sky,Bob Mould,83,2016,76
1150,Out of Season,Beth Gibbons & Rustin Man,83,2003,91
1151,Truly She Is None Other,Holly Golightly,83,2003,85
1152,Y Dydd Olaf,Gwenno,83,2015,83
1153,Us,Brother Ali,83,2009,89
1154,Clark,Clark,83,2014,82
1155,Hinterland,LoneLady,83,2015,74
1156,My Father Will Guide Me Up a Rope to the Sky,Swans,83,2010,87
1157,Looping State of Mind,The Field,83,2011,86
1158,The Bright Mississippi,Allen Toussaint,83,2009,83
1159,The Odds,The Evens,83,2012,79
1160,Ugly,Screaming Females,83,2012,82
1161,Food & Liquor,Lupe Fiasco,83,2006,88
1162,Real Animal,Alejandro Escovedo,83,2008,82
1163,Old,Danny Brown,83,2013,85
1164,I Hate Music,Superchunk,83,2013,76
1165,Silver Bell,Patty Griffin,83,2013,74
1166,Hospice,The Antlers,83,2009,91
1167,We Rose from Your Bed with the Sun in Our Head [Live],Swans,83,2012,86
1168,Game Theory,The Roots,83,2006,89
1169,Konnichiwa,Skepta,83,2016,77
1170,Faith in Strangers,Andy Stott,83,2014,84
1171,Sorrow: Reimagining of Gorecki's 3rd Symphony,Colin Stetson,83,2016,79
1172,Isolation Drills,Guided by Voices,83,2001,77
1173,Tempest,Bob Dylan,83,2012,76
1174,The Party,Andy Shauf,83,2016,83
1175,Control System,Ab-Soul,83,2012,89
1176,Blunderbuss,Jack White,83,2012,85
1177,Light Upon the Lake,Whitney,83,2016,86
1178,Apologies To The Queen Mary,Wolf Parade,83,2005,88
1179,Love,The Beatles,83,2006,82
1180,Until the Quiet Comes,Flying Lotus,83,2012,83
1181,"Stranger Things, Vol. 1 [Original Television Series Soundtrack]",Kyle Dixon,83,2016,84
1182,Amygdala,DJ Koze,83,2013,79
1183,Foil Deer,Speedy Ortiz,83,2015,75
1184,Open Your Heart,The Men,83,2012,82
1185,Attack On Memory,Cloud Nothings,83,2012,88
1186,Like Red On A Rose,Alan Jackson,83,2006,71
1187,Southern Air,Yellowcard,83,2012,89
1188,Skeleton,Abe Vigoda,83,2008,78
1189,Nonagon Infinity,King Gizzard & the Lizard Wizard,83,2016,85
1191,Hidden,These New Puritans,83,2010,89
1192,Uproot,DJ/rupture,83,2008,74
1193,New Amerykah: Part One (4th World War),Erykah Badu,83,2008,86
1194,1988,Blueprint,83,2005,81
1195,Sung Tongs,Animal Collective,83,2004,87
1196,Escondida,Jolie Holland,83,2004,84
1197,Good News For People Who Love Bad News,Modest Mouse,83,2004,88
1198,Once In A Lifetime,Talking Heads,83,2003,83
1199,Red Dirt Road,Brooks & Dunn,83,2003,86
1200,Me & Giuliani Down By the School Yard (A True Story) [EP],!!! [Chik Chik Chik],83,2003,70
1201,In Search Of... [Second Version],N.E.R.D. [The Neptunes],83,2002,90
1202,lilac6,The Lilac Time,83,2001,87
1203,Tryptych,Demdike Stare,83,2011,67
1204,Fear Fun,Father John Misty,83,2012,83
1205,Majesty Shredding,Superchunk,83,2010,82
1206,And Then Nothing Turned Itself Inside-Out,Yo La Tengo,83,2000,89
1207,Reloaded,Roc Marciano,83,2012,87
1208,Moodymann,Moodymann,83,2014,66
1209,Be,Common,83,2005,91
1210,Megafaun,Megafaun,83,2011,70
1211,Something About April II,Adrian Younge,83,2016,80
1212,Blaqkout,DJ Quik & Kurupt,83,2009,76
1213,Centralia,Mountains,83,2013,72
1214,Brighter Than Creation's Dark,Drive-By Truckers,83,2008,88
1215,The Hunter,Mastodon,83,2011,85
1216,A Winged Victory for the Sullen,A Winged Victory for the Sullen,83,2011,86
1217,The Narrows,Grant-Lee Philips,83,2016,40
1218,Music in Exile,Songhoy Blues,83,2015,72
1219,Wild Flag,Wild Flag,83,2011,83
1220,Blackjazz,Shining,83,2010,70
1221,Swim,Caribou,83,2010,84
1222,Harlem River Blues,Justin Townes Earle,83,2010,76
1223,Shine A Light,The Constantines,83,2003,86
1224,Think Tank,Blur,83,2003,90
1225,Master And Everyone,"Bonnie ""Prince"" Billy",83,2003,88
1226,I Am Shelby Lynne,Shelby Lynne,83,2000,88
1227,Midnite Vultures,Beck,83,1999,88
1228,Bang Bang Rock & Roll,Art Brut,83,2006,72
1229,Grinderman,Grinderman,83,2007,84
1230,Love vs Money,The-Dream,83,2009,88
1231,Hopelessness,Anohni,83,2016,82
1232,Choral,Mountains,83,2009,75
1233,Down Where the Spirit Meets the Bone,Lucinda Williams,83,2014,83
1234,Blackbirds,Gretchen Peters,83,2015,80
1235,Chatma,Tamikrest,83,2013,71
1236,You Could Have It So Much Better,Franz Ferdinand,83,2005,83
1237,Under Color of Official Right,Protomartyr,83,2014,84
1238,Eyes & Nines,Trash Talk,83,2010,75
1239,It Still Moves,My Morning Jacket,83,2003,89
1240,SVIIB,School of Seven Bells,83,2016,78
1241,The Visiter,The Dodos,83,2008,90
1242,Love On The Inside,Sugarland,83,2008,83
1243,We're New Here,Jamie xx,83,2011,81
1244,The Sunset Tree,The Mountain Goats,83,2005,89
1245,Outer Heaven,Greys,83,2016,64
1246,Nikki Nack,tUnE-yArDs,83,2014,80
1247,Nashville,Solomon Burke,83,2006,76
1248,Idiology,Mouse on Mars,83,2001,77
1249,High,Royal Headache,83,2015,77
1250,Four the Record,Miranda Lambert,83,2011,86
1251,PUP,PUP,83,2014,81
1252,Carboniferous,Zu,83,2009,89
1253,Loom,Fear of Men,83,2014,76
1254,We Are King,King,83,2016,78
1255,Futurology,Manic Street Preachers,83,2014,81
1256,M,Myrkur,83,2015,78
1257,"Angels of Darkness, Demons of Light, Vol. 2",Earth,83,2012,83
1258,A Shadow in Time,William Basinski,83,2017,90
1259,Circumambulation,True Widow,83,2013,73
1261,Hubris,Oren Ambarchi,83,2016,84
1262,Infinite Dissolution,Locrian,83,2015,83
1263,"If You See Me, Say Yes",Flock of Dimes,83,2016,69
1264,Whole & Cloven,Nathan Bowles,83,2016,86
1265,Royal Toast,The Claudia Quintet,83,2010,90
1266,Skyscraper National Park,Hayden,83,2002,90
1267,Unreasonable Behavior,Laurent Garnier,83,2000,87
1268,Come to Where I'm From,Joseph Arthur,83,2000,85
1269,B'lieve I'm Goin' Down,Kurt Vile,83,2015,74
1270,Boy,Carla Bozulich,83,2014,58
1271,The Whole Love,Wilco,83,2011,84
1272,Bubblegum,Kevin Devine,82,2013,80
1273,Ice Cream Spiritual,Ponytail,82,2008,69
1274,Blood Mountain,Mastodon,82,2006,90
1275,Blue and Lonesome,The Rolling Stones,82,2016,74
1276,Teen Dream,Beach House,82,2010,79
1277,Ramble at the Ryman,Levon Helm,82,2011,90
1278,Option Paralysis,The Dillinger Escape Plan,82,2010,73
1279,Sebenza,L.V.,82,2012,88
1280,Nine Types of Light,TV on the Radio,82,2011,79
1281,Why Do the Heathen Rage?,The Soft Pink Truth,82,2014,83
1282,(a)spera,Mirah,82,2009,89
1283,I'm a Dreamer,Josephine Foster,82,2013,83
1284,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,82,2006,79
1285,This Is Country Music,Brad Paisley,82,2011,84
1286,Overpowered,Roisin Murphy,82,2007,90
1287,East Of Eden,Taken by Trees,82,2009,83
1288,Home Sweet Home,Kano,82,2005,85
1289,Shattered,Reigning Sound,82,2014,76
1290,METZ,METZ,82,2012,76
1291,Daniel Bachman,Daniel Bachman,82,2016,73
1292,No One Deserves Happiness,The Body,82,2016,84
1293,The Miraculous,Anna von Hausswolff,82,2015,83
1294,Servant of Love,Patty Griffin,82,2015,73
1295,A Creature I Don't Know,Laura Marling,82,2011,86
1296,Homeland,Laurie Anderson,82,2010,88
1297,Watershed,Opeth,82,2008,90
1298,American V: A Hundred Highways,Johnny Cash,82,2006,87
1299,Pyramid Electric Co.,Jason Molina,82,2004,78
1300,Deliverance,Bubba Sparxxx,82,2003,86
1301,The Mess We Made,Matt Elliott,82,2003,80
1302,1st Born Second,Bilal,82,2001,87
1303,Poses,Rufus Wainwright,82,2001,90
1304,Mermaid Avenue Vol. II,Billy Bragg & Wilco,82,2000,77
1305,Never Hungover Again,Joyce Manor,82,2014,83
1306,Epic,Sharon Van Etten,82,2010,90
1307,Burn Something Beautiful,Alejandro Escovedo,82,2016,83
1308,Crack The Skye,Mastodon,82,2009,90
1309,"New History Warfare, Vol. 2: Judges",Colin Stetson,82,2011,89
1310,The  Electric Lady,Janelle Monáe,82,2013,87
1311,Life,Dan Friel,82,2015,60
1312,Panda Bear Meets the Grim Reaper,Panda Bear,82,2015,80
1313,Weird Little Birthday,Happyness,82,2014,75
1314,...Like Clockwork,Queens of the Stone Age,82,2013,89
1315,Yellow & Green,Baroness,82,2012,82
1316,Sepalcure,Sepalcure,82,2011,87
1317,Freetown Sound,Blood Orange,82,2016,85
1318,In Conflict,Owen Pallett,82,2014,80
1319,Singles,Future Islands,82,2014,86
1320,The Week That Was,The Week That Was,82,2008,87
1321,Bright Yellow Bright Orange,The Go-Betweens,82,2003,86
1322,Red Devil Dawn,Crooked Fingers,82,2003,89
1323,Cookie: The Anthropological Mix Tape,Me'Shell Ndegéocello,82,2002,77
1324,Internal Wrangler,Clinic,82,2001,85
1325,Our Shadows Will Remain,Joseph Arthur,82,2004,90
1326,Nothing More to Say,The Frightnrs,82,2016,72
1327,Nothing Violates This Nature,All Pigs Must Die,82,2013,83
1328,Love Streams,Tim Hecker,82,2016,78
1329,Canary,Southeast Engine,82,2011,83
1331,Curse Your Branches,David Bazan,82,2009,89
1332,Niño Rojo,Devendra Banhart,82,2004,82
1333,Stephen Malkmus,Stephen Malkmus,82,2001,83
1334,Mad for Sadness,Arab Strap,82,2000,82
1335,Demon Days,Gorillaz,82,2005,90
1336,"We are Beautiful, We Are Doomed",Los Campesinos!,82,2008,83
1337,America,Dan Deacon,82,2012,84
1338,Tourist in This Town,Allison Crutchfield,82,2017,98
1339,The Glass Bead Game,James Blackshaw,82,2009,85
1340,Back to Love,Anthony Hamilton,82,2011,83
1341,Oh No,Jessy Lanza,82,2016,80
1342,Floating Coffin,Thee Oh Sees,82,2013,84
1343,Theatre Is Evil,Amanda Palmer & the Grand Theft Orchestra,82,2012,90
1344,I Had a Dream That You Were Mine,Hamilton Leithauser,82,2016,81
1345,Don't Lose This,"Roebuck ""Pops"" Staples",82,2015,84
1346,A Love Surreal,Bilal,82,2013,85
1347,Salad Days,Mac DeMarco,82,2014,86
1348,The Monitor,Titus Andronicus,82,2010,79
1349,Frozen Niagara Falls,Prurient,82,2015,75
1350,Anxiety's Kiss,Coliseum,82,2015,87
1351,8 Million Stories,Soul Position,82,2003,88
1352,Dressy Bessy,Dressy Bessy,82,2003,79
1353,"Burn Piano Island, Burn",The Blood Brothers,82,2003,89
1354,You Are Free,Cat Power,82,2003,89
1355,The Rising,Bruce Springsteen & The E Street Band,82,2002,82
1356,Come Away With Me,Norah Jones,82,2002,87
1357,Stag,Amy Ray,82,2001,84
1358,The Renaissance,Q-Tip,82,2008,90
1359,Sometimes I Wish We Were An Eagle,Bill Callahan,82,2009,83
1360,Limbo,Eric Copeland,82,2012,85
1361,Shadows in the Night,Bob Dylan,82,2015,76
1362,50,Michael Chapman,82,2017,85
1363,For All We Know,nao,82,2016,83
1364,All Our Gods Have Abandoned Us,Architects,82,2016,84
1365,The Most Important Place in the World,Bill Wells,82,2015,85
1366,A Small Turn Of Human Kindness,Harvey Milk,82,2010,65
1367,A Vintage Burden,Charalambides,82,2006,86
1368,This Is It & I Am It & You Are It & So Is That & He Is It & She Is It & It Is It & That Is That,Marnie Stern,82,2008,89
1369,Sunken Condos,Donald Fagen,82,2012,80
1370,Words & Music by Saint Etienne,Saint Etienne,82,2012,79
1371,Fade,Yo La Tengo,82,2013,81
1372,Citizen of Glass,Agnes Obel,82,2016,78
1373,Too Many Voices,Andy Stott,82,2016,77
1374,The Great Destroyer,Low,82,2005,82
1375,Echoes of Silence,The Weeknd,82,2011,86
1376,NOTU_URONLINEU,Hi:Emotions,82,2016,86
1377,Rooty,Basement Jaxx,82,2001,91
1378,Ears,Kaitlyn Aurelia Smith,82,2016,60
1379,Ripely Pine,Lady Lamb the Beekeeper,82,2013,86
1380,Lost Wisdom,Mount Eerie,82,2008,85
1381,Frozen Orange,David Kilgour,82,2004,88
1382,OOOH! (Out Of Our Heads),Mekons,82,2002,88
1383,Confield,Autechre,82,2001,89
1384,Public Domain: Songs From the Wild Land,Dave Alvin,82,2000,80
1385,Doris,Earl Sweatshirt,82,2013,84
1386,The Dreaming Fields,Matraca Berg,82,2011,84
1387,Essence,Lucinda Williams,82,2001,80
1388,Vampire Weekend,Vampire Weekend,82,2008,85
1389,"Love Songs, Pt. 2",Romare,82,2016,54
1390,Black Peak,Xylouris White,82,2016,67
1391,The Seldom Seen Kid,Elbow,82,2008,89
1392,OK Cowboy,Vitalic,82,2006,88
1393,Wild Mountain Nation,Blitzen Trapper,82,2007,83
1394,Parallax,Atlas Sound,82,2011,85
1395,Jet Plane And Oxbow,Shearwater,82,2016,76
1396,Lodestar,Shirley Collins,82,2016,84
1397,Familiars,The Antlers,82,2014,82
1398,Running out of Love,The Radio Dept.,82,2016,73
1399,Field Report,Field Report,82,2012,75
