id,zanr
1,Jazz
2,Rock
2,Pop
3,Country
4,Rap
5,Rock
5,Pop
6,Rap
7,R&B
7,Soul
7,Funk
8,Pop/Rock
8,Alternative/Indie
8,Rock
8,Alternative
8,...
9,Pop
9,Rap
9,Pop/Rock
9,...
10,World
11,Indie
11,Rap
12,Rock
12,Alternative
12,Live
13,Rock
14,Folk
14,Singer-Songwriter
15,Pop/Rock
15,Alternative/Indie
15,Rock
15,Alternative
15,Pop/Rock
16,Pop
16,R&B
17,Pop/Rock
17,Roots
17,Rock
18,Pop/Rock
18,Alternative/Indie
18,Rock
18,Post-Rock
18,...
19,Rock
20,Electronic
20,Rap
21,Pop/Rock
22,R&B
23,Pop/Rock
23,Heavy
23,Metal
24,Indie
24,Rock
25,Rap
26,Pop/Rock
27,Rap
28,Electronic
28,Rap
29,Folk
29,Latin
30,R&B
30,Soul
31,Country
31,Contemporary
31,Country
31,Outlaw
31,Country
32,Rock
32,Alternative
33,Rap
33,East
33,Coast
33,Rap
33,Jazz-Rap
34,Electronic
35,Indie
35,Rock
35,Folk
36,Singer/Songwriter
36,Pop/Rock
36,Alternative/Indie
36,Rock
36,...
37,Pop/Rock
37,Alternative/Indie
37,Rock
37,Indie
37,Rock
38,Electronic
38,Rap
38,Garage
39,R&B
39,Soul
40,Rock
41,Indie
41,Rock
42,Electronic
43,International
44,Rap
44,Pop/Rock
45,Indie
45,Electronic
45,Alternative
46,Rock
46,Alternative
47,Avant-Garde
47,Pop/Rock
48,Indie
48,Rock
49,Pop/Rock
49,Alternative/Indie
49,Rock
50,Country
51,Rap
51,Pop/Rock
51,Southern
51,Rap
51,...
52,Indie
52,Electronic
53,Indie
53,Rock
53,Electronic
54,Dance
54,Electronic
55,Rock
56,Pop/Rock
56,Heavy
56,Metal
57,Rock
57,Alternative
58,Rap
59,Rock
59,Pop
59,Alternative
60,Folk
61,Pop/Rock
61,Adult
61,Alternative
61,Alternative/Indie
61,Rock
61,...
62,Rock
63,R&B
63,Contemporary
63,R&B
63,Alternative
63,R&B
64,Indie
64,Dance
64,Pop
64,...
65,Pop/Rock
65,Adult
65,Alternative
65,Alternative/Indie
65,Rock
65,...
66,Indie
66,Rock
67,Rock
67,Alternative
67,Metal
68,Electronic
69,World
70,Rap
1,Indie
1,Rock
1,Singer-Songwriter
2,Electronic
2,Alternative
3,Rap
4,International
5,Rock
5,Alternative
6,Indie
6,Rock
7,Indie
7,Rock
7,Neo-Psychedelia
8,Indie
8,Rock
9,Rock
9,Metal
10,Rap
11,Pop/Rock
11,Heavy
11,Metal
12,Folk
12,Pop/Rock
12,Alternative/Indie
12,Rock
13,Pop/Rock
14,Pop/Rock
14,Alternative/Indie
14,Rock
15,Indie
15,Rock
15,Pop
16,Indie
16,Rock
17,Indie
17,Rock
18,Rap
19,Emo
19,Pop/Rock
19,Alternative/Indie
19,Rock
19,...
20,Pop/Rock
20,Alternative/Indie
20,Rock
20,Post-Hardcore
21,Southern
21,Rap
21,Hardcore
21,Rap
22,Electronic
22,Rap
22,Dancehall
23,Electronic
23,Experimental
23,Electronic
23,Left-Field
23,Hip-Hop
24,Dance
24,Pop
24,Electronic
25,Indie
25,Rock
25,Pop
26,Indie
26,Rock
27,Folk
27,Americana
27,Pop/Rock
27,...
28,Rock
28,Pop
29,Indie
29,Rock
30,Electronic
30,Ambient
30,Avant-Garde
30,...
31,Indie
31,Rock
31,Pop
32,Electronic
32,Club/Dance
33,Indie
33,Rock
34,Rap
35,Electronic
35,Club/Dance
36,Country
36,Folk
36,Pop/Rock
37,Pop/Rock
37,Contemporary
37,Pop/Rock
37,Experimental
37,Rock
37,...
38,Country
38,Pop/Rock
38,Alternative/Indie
38,Rock
38,...
39,Pop/Rock
39,Alternative/Indie
39,Rock
39,Alternative
39,Pop/Rock
39,...
40,Pop/Rock
40,Alternative/Indie
40,Rock
41,Pop/Rock
41,Alternative/Indie
41,Rock
42,Pop/Rock
43,Classical
43,Jazz
43,Avant-Garde
43,...
44,Indie
44,Rock
45,Rap
46,Rock
46,Alternative
47,R&B
47,Pop/Rock
47,Alternative/Indie
47,Rock
47,...
48,Pop/Rock
48,Alternative/Indie
48,Rock
48,Alternative
48,Pop/Rock
48,...
49,Indie
49,Rock
50,Country
50,Folk
50,Pop/Rock
50,...
51,Pop/Rock
52,Jazz
53,Pop/Rock
54,Rock
55,Rock
55,Folk
55,Alt-Country
56,Indie
56,Rock
56,Electronic
57,Indie
57,Rock
57,Alternative
58,Post-Rock
58,Experimental
58,Rock
58,Noise-Rock
59,Pop/Rock
59,Alternative/Indie
59,Rock
60,Pop/Rock
60,Heavy
60,Metal
61,Rap
62,Folk
63,Indie
63,Rock
64,Rock
64,Electronic
65,Indie
65,Rock
66,R&B
66,Soul
66,Pop/Rock
66,...
67,Indie
67,Rock
68,Pop/Rock
68,Alternative/Indie
68,Rock
69,Electronic
69,Club/Dance
70,Indie
70,Rock
70,Pop
1,Pop/Rock
1,Alternative/Indie
1,Rock
1,Indie
1,Rock
1,...
2,Pop/Rock
3,Indie
3,Rock
4,Pop/Rock
5,Indie
5,Rock
6,Electronic
6,Pop/Rock
7,Electronic
7,Avant-Garde
7,Experimental
7,Electronic
7,...
8,Rock
9,Pop/Rock
9,Alternative/Indie
9,Rock
9,Alternative
9,Pop/Rock
10,Rock
10,Country
10,Folk
11,Electronic
11,Rap
11,Club/Dance
11,...
12,Pop/Rock
13,Indie
13,Rock
14,Pop/Rock
14,Alternative/Indie
14,Rock
14,Indie
14,Rock
14,...
15,Pop/Rock
16,Jazz
16,Pop/Rock
16,Alternative/Indie
16,Rock
16,...
17,Rock
17,Alternative
18,Pop/Rock
18,Alternative/Indie
18,Rock
18,Indie
18,Rock
18,...
19,Soul
19,Pop/Rock
20,Pop/Rock
21,Pop/Rock
21,Alternative/Indie
21,Rock
22,Rock
22,Metal
22,Punk
23,Rock
23,Experimental
24,Indie
24,Rock
24,Pop
25,Indie
25,Rock
25,Pop
25,...
26,Rock
26,Alternative
27,Indie
27,Rock
28,Pop/Rock
29,Pop/Rock
29,Alternative/Indie
29,Rock
29,Alternative
29,Pop/Rock
29,...
30,Electronic
30,Pop/Rock
31,Pop/Rock
31,Alternative/Indie
31,Rock
31,Alternative
31,Pop/Rock
31,...
32,Bluegrass
32,Country
32,Folk
32,...
33,Indie
33,Rock
34,Pop/Rock
35,Pop/Rock
35,Alternative/Indie
35,Rock
35,Alternative
35,Pop/Rock
35,...
36,Rock
37,Electronic
38,Indie
38,Rock
39,Pop/Rock
39,Alternative/Indie
39,Rock
39,Alternative
39,Pop/Rock
39,...
40,Indie
40,Rock
41,Rap
42,Jazz
43,Jazz
43,Pop/Rock
43,Alternative/Indie
43,Rock
44,Rock
44,Punk
45,Pop/Rock
45,Alternative/Indie
45,Rock
46,R&B
46,Funk
46,Pop/Rock
46,...
47,Pop/Rock
47,Alternative/Indie
47,Rock
47,Alternative
47,Pop/Rock
48,Pop/Rock
49,Electronic
50,Indie
50,Rock
50,Alt-Country
51,Rock
51,Alternative
52,Rock
52,Alternative
53,Indie
53,Rock
53,Pop
53,...
54,Jazz
54,New
54,Age
54,Pop/Rock
54,...
55,Pop/Rock
56,Pop/Rock
56,Alternative/Indie
56,Rock
56,Dream
56,Pop
56,...
57,Pop/Rock
57,Alternative/Indie
57,Rock
57,Alternative
57,Pop/Rock
58,Electronic
58,Club/Dance
59,R&B
59,Pop/Rock
59,Contemporary
59,R&B
60,Electronic
61,Alternative
61,Country
62,Rock
62,Alternative
63,Electronic
63,Pop/Rock
63,Alternative/Indie
63,Rock
64,Indie
64,Rock
65,Pop/Rock
65,Alternative/Indie
65,Rock
65,Neo-Psychedelia
66,Electronic
66,Pop/Rock
67,Pop/Rock
67,Alternative/Indie
67,Rock
67,Indie
67,Pop
68,Indie
68,Rock
69,R&B
69,Blues
69,Pop/Rock
69,...
70,Rock
70,Alternative
70,Blues
1,Pop/Rock
1,Alternative/Indie
1,Rock
1,Indie
1,Rock
1,...
2,Rock
3,Indie
3,Rock
4,Electronic
4,Experimental
5,Rock
5,Electronic
5,Trip-Hop
6,Indie
6,Rock
7,Indie
7,Rock
7,Electronic
7,...
8,Folk
8,Pop/Rock
8,Alternative/Indie
8,Rock
9,Electronic
9,Pop/Rock
9,Alternative/Indie
9,Rock
9,...
10,Pop/Rock
10,Heavy
10,Metal
11,Pop/Rock
11,Alternative/Indie
11,Rock
11,Alternative
11,Pop/Rock
11,...
12,R&B
13,Country
14,Pop/Rock
14,Alternative/Indie
14,Rock
15,Pop/Rock
16,Pop/Rock
17,Pop/Rock
17,Adult
17,Alternative
17,Alternative/Indie
17,Rock
17,...
18,Folk
18,Americana
18,Pop/Rock
18,...
19,Jazz
19,Avant-Garde
19,Piano
19,Jazz
19,...
20,Rock
20,Live
21,Pop/Rock
21,Alternative/Indie
21,Rock
22,Pop/Rock
22,International
23,Singer/Songwriter
23,Pop/Rock
23,Contemporary
23,Pop/Rock
24,Indie
24,Rap
25,Pop/Rock
25,Alternative/Indie
25,Rock
25,Indie
25,Rock
25,...
26,Country
27,Electronic
27,Club/Dance
28,Electronic
28,Club/Dance
29,Indie
29,Rock
29,Experimental
30,Dance
30,Rap
30,Urban
31,Rock
31,Alternative
32,Pop/Rock
32,Alternative/Indie
32,Rock
32,Alternative
32,Pop/Rock
32,...
33,Indie
33,Rock
34,Pop/Rock
34,Alternative/Indie
34,Rock
34,Alternative
34,Pop/Rock
34,...
35,R&B
35,Soul
36,Rock
36,Alternative
36,Singer-Songwriter
37,Pop/Rock
37,Alternative/Indie
37,Rock
38,Electronic
39,Pop/Rock
39,Alternative/Indie
39,Rock
39,Indie
39,Rock
39,...
40,Indie
40,Rock
41,Pop/Rock
41,Alternative/Indie
41,Rock
42,Rap
42,Pop/Rock
42,Alternative
42,Rap
43,Indie
43,Rock
44,Electronic
45,Pop/Rock
45,Alternative/Indie
45,Rock
46,Indie
46,Rock
46,Pop
47,Indie
47,Rock
48,Pop/Rock
48,Alternative/Indie
48,Rock
48,Indie
48,Rock
48,...
49,Country
49,Alt-Country
49,Americana
49,...
50,Electronic
50,Rap
50,Pop/Rock
51,Folk
51,Pop/Rock
51,Alternative/Indie
51,Rock
51,...
52,Rock
52,Alternative
53,Indie
53,Rock
54,Rock
54,Punk
55,Dance
55,Electronic
56,Indie
56,Rap
57,Indie
57,Rock
58,Indie
58,Rock
59,Pop/Rock
59,Adult
59,Alternative
59,Alternative/Indie
59,Rock
59,...
60,Pop/Rock
60,Alternative/Indie
60,Rock
60,Alternative
60,Pop/Rock
61,Electronic
62,Pop/Rock
62,Alternative/Indie
62,Rock
63,Rap
64,Electronic
64,Ambient
64,Experimental
64,Electro
64,...
65,Indie
65,Rock
66,Jazz
67,Electronic
68,Pop/Rock
68,Alternative/Indie
68,Rock
68,Alternative
68,Pop/Rock
68,...
69,Electronic
69,Pop/Rock
70,Alternative
70,Folk
70,Singer-Songwriter
1,Indie
1,Rock
2,Electronic
2,Downtempo
2,Pop/Rock
2,...
3,Electronic
3,Pop/Rock
3,Alternative/Indie
3,Rock
3,...
4,Rock
5,Electronic
5,Techno
5,Garage
5,...
6,Electronic
7,Pop/Rock
7,Alternative/Indie
7,Rock
7,Alternative
7,Pop/Rock
8,Electronic
8,Avant-Garde
8,Post-Rock
8,...
9,Pop/Rock
10,Pop/Rock
10,Alternative/Indie
10,Rock
11,Indie
11,Alternative
12,Indie
12,Rock
13,Electronic
13,Pop/Rock
14,Pop/Rock
14,Alternative/Indie
14,Rock
14,Alternative
14,Pop/Rock
15,Pop/Rock
15,Alternative/Indie
15,Rock
15,Dream
15,Pop
15,...
16,Electronic
16,Experimental
16,Techno
16,Experimental
16,Electronic
17,Indie
17,Rock
18,Rock
18,Alternative
19,Rock
19,Pop
19,Alternative
20,Indie
20,Rock
21,Alternative/Indie
21,Rock
21,Indie
21,Rock
21,Post-Rock
22,Electronic
22,Downtempo
22,Pop/Rock
22,...
23,Electronic
24,Pop/Rock
24,Alternative/Indie
24,Rock
24,Alternative
24,Pop/Rock
25,Electronic
25,Pop/Rock
26,Rock
26,Alternative
27,Pop/Rock
27,Alternative/Indie
27,Rock
27,Indie
27,Rock
27,...
28,Rap
29,Indie
29,Rock
30,Indie
30,Rock
31,Indie
31,Rock
32,Electronic
32,Hip-Hop
33,Pop/Rock
33,Alternative/Indie
33,Rock
33,Alternative
33,Pop/Rock
33,...
34,Rock
34,Electronic
34,Experimental
35,Electronic
36,Pop/Rock
36,Alternative/Indie
36,Rock
37,Pop/Rock
37,Alternative/Indie
37,Rock
37,Alternative
37,...
38,Pop/Rock
38,Alternative/Indie
38,Rock
38,Alternative
39,Electronic
40,Pop/Rock
40,Alternative/Indie
40,Rock
40,Post-Rock
40,...
41,Pop/Rock
41,Alternative/Indie
41,Rock
41,Indie
41,Rock
42,Indie
42,Rock
42,Alternative
43,Pop/Rock
43,Alternative/Indie
43,Rock
43,Alternative
43,Pop/Rock
43,...
44,Folk
45,Pop/Rock
45,Alternative/Indie
45,Rock
45,Indie
45,Rock
45,...
46,Rap
47,Indie
47,Rock
48,Rap
49,Pop/Rock
49,Alternative/Indie
49,Rock
50,Indie
50,Rock
51,Rap
51,Pop/Rock
51,Gangsta
51,Rap
51,...
52,Pop/Rock
53,Pop/Rock
54,Rock
54,Alternative
55,Rap
56,Indie
56,Rock
56,Experimental
57,Indie
57,Rock
57,Alternative
58,Indie
58,Rock
58,Pop
58,...
59,Indie
59,Rock
60,Pop/Rock
60,Alternative/Indie
60,Rock
61,Rock
62,Pop/Rock
63,Folk
64,Ambient
64,Pop/Rock
64,Post-Rock
64,...
65,Electronic
65,Experimental
65,Avant-Garde
65,...
66,R&B
67,Rock
67,Singer-Songwriter
68,Bluegrass
68,Folk
68,Pop/Rock
68,...
69,Pop/Rock
69,Alternative/Indie
69,Rock
70,Rap
70,Alternative
70,Rap
70,Underground
70,Rap
70,...
1,Indie
1,Rock
1,Experimental
2,Electronic
2,Pop/Rock
2,Alternative/Indie
2,Rock
2,...
3,Pop
3,R&B
3,Soul
4,Pop/Rock
4,Alternative
4,Pop/Rock
5,Electronic
6,Pop/Rock
6,Alternative/Indie
6,Rock
7,R&B
7,Dance-Pop
7,Contemporary
7,R&B
8,Indie
8,Rock
9,Pop/Rock
9,Heavy
9,Metal
10,Pop/Rock
10,Alternative/Indie
10,Rock
10,Alternative
10,Pop/Rock
11,Indie
11,Rock
12,Rap
13,Indie
13,Rap
14,Jazz
15,Electronic
15,Alternative
16,Country
16,Pop/Rock
17,Pop/Rock
17,Alternative/Indie
17,Rock
17,Alternative
17,Pop/Rock
17,...
18,Electronic
19,Pop/Rock
19,Heavy
19,Metal
19,Death
19,Metal
20,Country
21,Indie
21,Rock
22,Country
23,Electronic
23,Club/Dance
23,Left-Field
23,House
23,...
24,Country
24,Folk
24,Americana
24,...
25,Indie
25,Rock
26,Indie
26,Rock
27,Indie
27,Rock
28,Rap
29,Heavy
29,Metal
30,Electronic
31,Folk
32,Pop/Rock
32,Alternative/Indie
32,Rock
32,Alternative
32,Pop/Rock
33,Folk
33,Neo-Psychedelia
33,Indie
33,Folk
34,Pop/Rock
34,Alternative/Indie
34,Rock
35,Pop/Rock
36,Pop/Rock
37,Pop/Rock
37,Alternative/Indie
37,Rock
37,Alternative
37,Pop/Rock
38,Country
38,Americana
38,Folk-Rock
38,...
39,Electronic
40,Indie
40,Rock
41,Rock
41,Alternative
41,Folk
42,Indie
42,Rock
43,Rock
43,Alternative
44,Indie
44,Rock
44,Alternative
45,Electronic
46,Pop/Rock
46,Alternative/Indie
46,Rock
46,Alternative
46,Pop/Rock
47,Pop/Rock
47,Contemporary
47,Post-Grunge
48,Indie
48,Rock
49,Folk
49,Celtic
49,Pop/Rock
49,...
50,Pop
50,Electronic
51,Jazz
51,Pop/Rock
51,Jazz
51,Instrument
51,...
52,Pop/Rock
52,Alternative/Indie
52,Rock
52,Alternative
52,Pop/Rock
52,...
53,Electronic
53,Experimental
53,Classical
53,...
54,Indie
54,Rock
54,Singer-Songwriter
55,Indie
55,Rock
56,Indie
56,Rock
57,Indie
57,Rap
57,R&B
58,Indie
58,Rock
59,Pop/Rock
59,Alternative
59,Metal
60,International
60,African
60,Traditions
60,African
60,Folk
60,...
61,Pop/Rock
61,Alternative/Indie
61,Rock
61,Dance-Rock
62,Pop/Rock
62,Alternative/Indie
62,Rock
63,Electronic
63,Pop/Rock
63,Alternative/Indie
63,Rock
63,...
64,Indie
64,Rock
65,Pop/Rock
65,Alternative/Indie
65,Rock
65,Alternative
65,Pop/Rock
66,Pop/Rock
66,Alternative/Indie
66,Rock
66,Alternative
66,Pop/Rock
66,...
67,International
68,Rock
68,Adult-Alternative
68,Singer-Songwriter
69,Indie
69,Rock
70,Country
70,Roots
70,Rock
70,Contemporary
70,Country
70,...
1,Indie
1,Rock
2,Alternative/Indie
2,Rock
2,Alternative
2,Pop/Rock
2,Indie
2,Rock
2,...
3,Pop/Rock
3,Alternative/Indie
3,Rock
3,Alternative
3,Pop/Rock
4,World
5,Rock
5,Experimental
6,R&B
6,Soul
6,Pop/Rock
7,Pop/Rock
7,Alternative/Indie
7,Rock
7,Post-Rock
7,...
8,Folk
8,Celtic
8,Pop/Rock
8,...
9,Pop/Rock
9,Alternative/Indie
9,Rock
9,Indie
9,Rock
9,...
10,Pop/Rock
10,Alternative/Indie
10,Rock
10,Experimental
10,Rock
11,Pop/Rock
12,Pop/Rock
12,Alternative/Indie
12,Rock
12,Alternative
12,Pop/Rock
13,Pop/Rock
13,Alternative/Indie
13,Rock
13,Alternative
13,Pop/Rock
13,...
14,Dance
14,Electronic
15,Indie
15,Rap
16,R&B
16,Soul
16,Retro-Soul
16,...
17,Indie
17,Rock
18,Indie
18,Rock
19,Rock
19,Folk
20,Rap
21,Electronic
21,Hip-Hop
22,Indie
22,Rock
23,Electronic
23,Pop/Rock
23,Alternative/Indie
23,Rock
23,...
24,Alternative/Indie
24,Rock
25,Indie
25,Rock
26,R&B
26,Pop/Rock
27,Pop/Rock
27,Alternative/Indie
27,Rock
27,Alternative
27,Pop/Rock
27,...
28,Pop/Rock
28,Alternative/Indie
28,Rock
29,Pop/Rock
29,Heavy
29,Metal
29,Punk/New
29,Wave
29,...
30,Adult
30,Alternative
31,Electronic
32,Electronic
32,Techno
32,Pop/Rock
32,...
33,Pop/Rock
33,Alternative/Indie
33,Rock
33,Indie
33,Rock
33,...
34,Rap
34,Pop/Rock
35,Pop/Rock
35,Alternative/Indie
35,Rock
35,Alternative
35,Pop/Rock
35,...
36,Pop/Rock
36,Alternative/Indie
36,Rock
37,Electronic
37,Club/Dance
38,Dance
38,Electronic
39,Indie
39,Rock
40,Pop/Rock
40,Alternative/Indie
40,Rock
40,American
40,Trad
40,Rock
41,Rock
41,Experimental
42,R&B
42,Alternative
42,R&B
43,Indie
43,Rock
44,Pop/Rock
44,Alternative/Indie
44,Rock
44,Rock
44,&
44,Roll
44,...
45,Country
45,Americana
45,Adult
45,Alternative
45,...
46,Pop/Rock
47,Indie
47,Rock
47,Pop
48,International
48,West
48,African
48,African
48,Traditions
48,...
49,Country
49,Pop/Rock
49,Alternative/Indie
49,Rock
49,...
50,Indie
50,Rock
51,Indie
51,Rock
51,Alternative
52,Rock
52,Pop
53,Rock
53,Electronic
53,Alternative
54,Rock
54,Pop
55,Rock
55,Pop
55,Alt-Country
56,Indie
56,Rock
57,Electronic
57,Rap
57,Pop/Rock
57,...
58,Indie
